,distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
0,554,25,50,6.2350000000000785,False
1,548,25,50,6.236000000000079,False
2,542,25,50,6.237000000000079,False
3,537,25,50,6.2380000000000795,False
4,531,25,50,6.23900000000008,False
5,525,25,50,6.24000000000008,False
6,520,25,50,6.2410000000000805,False
7,513,25,50,6.242000000000081,False
8,508,25,50,6.243000000000081,False
9,502,25,50,6.2440000000000815,False
10,496,25,50,6.245000000000082,False
11,490,25,50,6.246000000000082,False
12,483,25,50,6.2470000000000825,False
13,479,25,50,6.248000000000083,False
14,473,25,50,6.249000000000083,False
15,467,25,50,6.2500000000000835,False
16,461,25,50,6.251000000000084,False
17,456,25,50,6.252000000000084,False
18,449,25,50,6.2530000000000845,False
19,444,25,50,6.254000000000085,False
20,437,25,50,6.255000000000085,False
21,431,25,50,6.2560000000000855,False
22,425,25,50,6.257000000000086,False
23,420,25,50,6.258000000000086,False
24,415,25,50,6.2590000000000865,False
25,409,25,50,6.260000000000087,False
26,404,25,50,6.261000000000087,False
27,397,25,50,6.2620000000000875,False
28,392,25,50,6.263000000000088,False
29,386,25,50,6.264000000000088,False
30,381,25,50,6.2650000000000885,False
31,375,25,50,6.266000000000089,False
32,368,25,50,6.267000000000089,False
33,363,25,50,6.2680000000000895,False
34,356,25,50,6.26900000000009,False
35,351,25,50,6.27000000000009,False
36,345,25,50,6.2710000000000905,False
37,340,25,50,6.272000000000091,False
38,334,25,50,6.273000000000091,False
39,328,25,50,6.2740000000000915,False
40,323,25,50,6.275000000000092,False
41,317,25,50,6.276000000000092,False
42,312,25,50,6.2770000000000925,False
43,305,25,50,6.278000000000093,False
44,300,25,50,6.279000000000093,False
45,293,25,50,6.2800000000000935,False
46,288,25,50,6.281000000000094,False
47,282,25,50,6.282000000000094,False
48,277,25,50,6.2830000000000945,False
49,270,25,50,6.284000000000095,False
50,265,25,50,6.285000000000095,False
51,258,25,50,6.2860000000000955,False
52,252,25,50,6.287000000000096,False
53,246,25,50,6.288000000000096,False
54,241,25,50,6.2890000000000965,False
55,234,25,50,6.290000000000097,False
56,228,25,50,6.291000000000097,False
57,222,25,50,6.2920000000000975,False
58,216,25,50,6.293000000000098,False
59,211,25,50,6.294000000000098,False
60,205,25,50,6.2950000000000985,False
61,200,25,50,6.296000000000099,False
62,194,25,50,6.297000000000099,False
