distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
581,17,35,6.29,False
576,17,35,6.29,False
572,17,35,6.29,False
567,17,35,6.29,False
563,17,35,6.29,False
558,17,35,6.29,False
553,17,35,6.29,False
549,17,35,6.3,False
544,17,35,6.3,False
540,17,35,6.3,False
535,17,35,6.3,False
531,17,35,6.3,False
526,17,35,6.3,False
522,17,35,6.3,False
517,17,35,6.3,False
513,17,35,6.3,False
508,17,35,6.3,False
504,17,35,6.31,False
500,17,35,6.31,False
495,17,35,6.31,False
491,17,35,6.31,False
486,17,35,6.31,False
482,17,35,6.31,False
478,17,35,6.31,False
473,17,35,6.31,False
469,17,35,6.31,False
463,17,35,6.31,False
459,17,35,6.32,False
454,17,35,6.32,False
449,17,35,6.32,False
444,17,35,6.32,False
440,17,35,6.32,False
435,17,35,6.32,False
430,17,35,6.32,False
426,17,35,6.32,False
420,17,35,6.32,False
416,17,35,6.32,False
411,17,35,6.33,False
406,17,35,6.33,False
402,17,35,6.33,False
398,17,35,6.33,False
393,17,35,6.33,False
388,17,35,6.33,False
383,17,35,6.33,False
379,17,35,6.33,False
374,17,35,6.33,False
370,17,35,6.33,False
365,17,35,6.34,False
361,17,35,6.34,False
356,17,35,6.34,False
352,17,35,6.34,False
347,17,35,6.34,False
342,17,35,6.34,False
338,17,35,6.34,False
333,17,35,6.34,False
328,17,35,6.34,False
324,17,35,6.34,False
318,17,35,6.35,False
315,17,35,6.35,False
309,17,35,6.35,False
305,17,35,6.35,False
301,17,35,6.35,False
297,17,35,6.35,False
292,17,35,6.35,False
288,17,35,6.35,False
284,17,35,6.35,False
280,17,35,6.35,False
275,17,35,6.36,False
271,17,35,6.36,False
266,17,35,6.36,False
261,17,35,6.36,False
257,17,35,6.36,False
252,17,35,6.36,False
247,17,35,6.36,False
243,17,35,6.36,False
239,17,35,6.36,False
235,17,35,6.36,False
230,17,35,6.37,False
226,17,35,6.37,False
222,17,35,6.37,False
217,17,35,6.37,False
212,17,35,6.37,False
207,17,35,6.37,False
203,17,35,6.37,False
198,17,35,6.37,False
194,17,35,6.37,False
190,17,35,6.37,False
184,17,35,6.38,False
181,17,35,6.38,False
175,17,35,6.38,False
171,17,35,6.38,False
166,17,35,6.38,False
162,17,35,6.38,False
157,17,35,6.38,False
152,17,35,6.38,False
148,17,35,6.38,False
144,17,35,6.38,False
139,17,35,6.39,False
135,17,35,6.39,False
130,17,35,6.39,False
130,17,35,6.39,True
143,17,35,6.43,False
138,17,35,6.43,False
133,17,35,6.43,False
129,17,35,6.43,False
124,17,35,6.43,False
119,17,35,6.43,False
114,17,35,6.43,False
110,17,35,6.43,False
104,17,35,6.44,False
100,17,35,6.44,False
95,17,35,6.44,False
91,17,35,6.44,False
91,17,35,6.44,True
372,17,35,6.48,False
368,17,35,6.48,False
363,17,35,6.48,False
358,17,35,6.48,False
354,17,35,6.48,False
349,17,35,6.48,False
344,17,35,6.48,False
339,17,35,6.49,False
334,17,35,6.49,False
329,17,35,6.49,False
324,17,35,6.49,False
320,17,35,6.49,False
315,17,35,6.49,False
311,17,35,6.49,False
305,17,35,6.49,False
301,17,35,6.49,False
296,17,35,6.49,False
292,17,35,6.5,False
286,17,35,6.5,False
282,17,35,6.5,False
277,17,35,6.5,False
272,17,35,6.5,False
267,17,35,6.5,False
262,17,35,6.5,False
257,17,35,6.5,False
253,17,35,6.5,False
249,17,35,6.5,False
244,17,35,6.51,False
239,17,35,6.51,False
234,17,35,6.51,False
230,17,35,6.51,False
224,17,35,6.51,False
220,17,35,6.51,False
215,17,35,6.51,False
210,17,35,6.51,False
205,17,35,6.51,False
201,17,35,6.51,False
197,17,35,6.52,False
191,17,35,6.52,False
187,17,35,6.52,False
182,17,35,6.52,False
177,17,35,6.52,False
172,17,35,6.52,False
167,17,35,6.52,False
162,17,35,6.52,False
157,17,35,6.52,False
153,17,35,6.52,False
148,17,35,6.53,False
143,17,35,6.53,False
139,17,35,6.53,False
134,17,35,6.53,False
129,17,35,6.53,False
124,17,35,6.53,False
119,17,35,6.53,False
114,17,35,6.53,False
109,17,35,6.53,False
104,17,35,6.53,False
100,17,35,6.54,False
100,17,35,6.54,True
465,25,50,6.58,False
460,25,50,6.58,False
455,25,50,6.58,False
450,25,50,6.58,False
446,25,50,6.58,False
440,25,50,6.58,False
436,25,50,6.58,False
430,25,50,6.59,False
425,25,50,6.59,False
421,25,50,6.59,False
417,25,50,6.59,False
411,25,50,6.59,False
407,25,50,6.59,False
402,25,50,6.59,False
397,25,50,6.59,False
392,25,50,6.59,False
388,25,50,6.59,False
383,25,50,6.6,False
379,25,50,6.6,False
374,25,50,6.6,False
369,25,50,6.6,False
365,25,50,6.6,False
360,25,50,6.6,False
356,25,50,6.6,False
351,25,50,6.6,False
346,25,50,6.6,False
342,25,50,6.6,False
337,25,50,6.61,False
332,25,50,6.61,False
326,25,50,6.61,False
322,25,50,6.61,False
316,25,50,6.61,False
312,25,50,6.61,False
307,25,50,6.61,False
301,25,50,6.61,False
297,25,50,6.61,False
291,25,50,6.61,False
287,25,50,6.62,False
281,25,50,6.62,False
277,25,50,6.62,False
271,25,50,6.62,False
266,25,50,6.62,False
261,25,50,6.62,False
257,25,50,6.62,False
251,25,50,6.62,False
246,25,50,6.62,False
242,25,50,6.62,False
236,25,50,6.63,False
232,25,50,6.63,False
228,25,50,6.63,False
222,25,50,6.63,False
218,25,50,6.63,False
213,25,50,6.63,False
209,25,50,6.63,False
203,25,50,6.63,False
198,25,50,6.63,False
193,25,50,6.63,False
188,25,50,6.64,False
184,25,50,6.64,False
179,25,50,6.64,False
175,25,50,6.64,False
170,25,50,6.64,False
165,25,50,6.64,False
160,25,50,6.64,False
155,25,50,6.64,False
151,25,50,6.64,False
146,25,50,6.64,False
142,25,50,6.65,False
136,25,50,6.65,False
547,17,35,6.23,False
542,17,35,6.23,False
538,17,35,6.23,False
533,17,35,6.23,False
529,17,35,6.23,False
524,17,35,6.23,False
520,17,35,6.23,False
516,17,35,6.23,False
511,17,35,6.24,False
507,17,35,6.24,False
503,17,35,6.24,False
498,17,35,6.24,False
494,17,35,6.24,False
490,17,35,6.24,False
485,17,35,6.24,False
480,17,35,6.24,False
475,17,35,6.24,False
471,17,35,6.24,False
465,17,35,6.25,False
461,17,35,6.25,False
456,17,35,6.25,False
452,17,35,6.25,False
447,17,35,6.25,False
