distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action,prediction
562,17,35,6.233000000000078,,Do_Nothing
557,17,35,6.234000000000078,,Do_Nothing
552,17,35,6.235000000000079,,Do_Nothing
545,17,35,6.236000000000079,,Do_Nothing
540,17,35,6.237000000000079,,Do_Nothing
534,17,35,6.23800000000008,,Do_Nothing
529,17,35,6.23900000000008,,Do_Nothing
523,17,35,6.24000000000008,,Do_Nothing
518,17,35,6.2410000000000805,,Do_Nothing
513,17,35,6.242000000000081,,Do_Nothing
507,17,35,6.243000000000081,,Do_Nothing
500,17,35,6.2440000000000815,,Do_Nothing
495,17,35,6.245000000000082,,Do_Nothing
490,17,35,6.246000000000082,,Do_Nothing
483,17,35,6.2470000000000825,,Do_Nothing
478,17,35,6.248000000000083,,Do_Nothing
472,17,35,6.249000000000083,,Do_Nothing
466,17,35,6.250000000000084,,Do_Nothing
460,17,35,6.251000000000084,,Do_Nothing
455,17,35,6.252000000000084,,Do_Nothing
449,17,35,6.2530000000000845,,Do_Nothing
444,17,35,6.254000000000085,,Do_Nothing
438,17,35,6.255000000000085,,Do_Nothing
432,17,35,6.2560000000000855,,Do_Nothing
426,17,35,6.257000000000086,,Do_Nothing
420,17,35,6.258000000000086,,Do_Nothing
414,17,35,6.259000000000087,,Do_Nothing
409,17,35,6.260000000000087,,Do_Nothing
403,17,35,6.261000000000087,,Do_Nothing
398,17,35,6.262000000000088,,Do_Nothing
391,17,35,6.263000000000088,,Do_Nothing
385,17,35,6.264000000000088,,Do_Nothing
380,17,35,6.2650000000000885,,Do_Nothing
373,17,35,6.266000000000089,,Do_Nothing
367,17,35,6.267000000000089,,Do_Nothing
361,17,35,6.2680000000000895,,Do_Nothing
356,17,35,6.26900000000009,,Do_Nothing
349,17,35,6.27000000000009,,Do_Nothing
344,17,35,6.2710000000000905,,Do_Nothing
339,17,35,6.272000000000091,,Do_Nothing
333,17,35,6.273000000000091,,Do_Nothing
327,17,35,6.274000000000092,,Do_Nothing
321,17,35,6.275000000000092,,Do_Nothing
316,17,35,6.276000000000092,,Do_Nothing
310,17,35,6.2770000000000925,,Do_Nothing
305,17,35,6.278000000000093,,Do_Nothing
299,17,35,6.279000000000093,,Do_Nothing
293,17,35,6.2800000000000935,,Do_Nothing
288,17,35,6.281000000000094,,Do_Nothing
282,17,35,6.282000000000094,,Do_Nothing
276,17,35,6.283000000000095,,Do_Nothing
271,17,35,6.284000000000095,,Do_Nothing
265,17,35,6.285000000000095,,Do_Nothing
260,17,35,6.286000000000096,,Do_Nothing
253,17,35,6.287000000000096,,Do_Nothing
248,17,35,6.288000000000096,,Do_Nothing
242,17,35,6.2890000000000965,,Do_Nothing
236,17,35,6.290000000000097,,Do_Nothing
231,17,35,6.291000000000097,,Do_Nothing
224,17,35,6.2920000000000975,,Do_Nothing
219,17,35,6.293000000000098,,Do_Nothing
213,17,35,6.294000000000098,,Do_Nothing
207,17,35,6.2950000000000985,,Do_Nothing
202,17,35,6.296000000000099,,Do_Nothing
195,17,35,6.297000000000099,,Do_Nothing
189,17,35,6.2980000000001,,Do_Nothing
183,17,35,6.2990000000001,,Do_Nothing
177,17,35,6.3000000000001,,Do_Nothing
172,17,35,6.3010000000001005,,Do_Nothing
166,17,35,6.302000000000101,,Do_Nothing
160,17,35,6.303000000000101,,Do_Nothing
154,17,35,6.3040000000001015,,Do_Nothing
148,17,35,6.305000000000102,,Do_Nothing
143,17,35,6.306000000000102,,Do_Nothing
136,17,35,6.307000000000103,,Do_Nothing
131,17,35,6.308000000000103,,Do_Nothing
125,17,35,6.309000000000103,,Do_Nothing
119,17,35,6.310000000000104,,Do_Nothing
114,17,35,6.311000000000104,,Do_Nothing
108,17,35,6.312000000000104,,Do_Nothing
103,17,35,6.3130000000001045,,Do_Nothing
96,17,35,6.314000000000105,,Do_Nothing
92,17,35,6.315000000000105,,Do_Nothing
86,17,35,6.3160000000001055,,Do_Nothing
80,17,35,6.317000000000106,,Do_Nothing
74,17,35,6.318000000000106,,Do_Nothing
68,17,35,6.3190000000001065,,Do_Nothing
62,17,35,6.320000000000107,,Do_Nothing
56,17,35,6.321000000000107,,Do_Nothing
50,17,35,6.322000000000108,,Do_Nothing
45,17,35,6.323000000000108,,Do_Nothing
38,17,35,6.324000000000108,,Do_Nothing
33,17,35,6.3250000000001085,,Do_Nothing
28,17,35,6.326000000000109,,Do_Nothing
22,17,35,6.327000000000109,,Do_Nothing
16,17,35,6.3280000000001095,,Do_Nothing
9,17,35,6.32900000000011,,Do_Nothing
4,17,35,6.33000000000011,,Do_Nothing
-3,17,35,6.331000000000111,,Jump
-9,17,35,6.332000000000111,,Jump
-15,17,35,6.333000000000111,,Jump
-21,17,35,6.334000000000112,,Jump
-27,17,35,6.335000000000112,,Jump
-33,17,35,6.336000000000112,,Jump
562,17,35,6.3370000000001125,,Do_Nothing
556,17,35,6.338000000000113,,Do_Nothing
